Timestamp,PredictedEmotion
1707900413.3429208,Neutral
1707900413.4137244,Shocked
1707900413.5054276,Neutral
1707900413.5792,Neutral
1707900413.6615608,Neutral
1707900413.7471051,Neutral
1707900413.8283095,Neutral
1707900413.8917556,Neutral
1707900413.9759,Neutral
1707900414.044213,Neutral
1707900414.1133697,Neutral
1707900414.1920516,Relaxed
1707900414.2729037,Relaxed
1707900414.3420296,Relaxed
1707900414.4115522,Relaxed
1707900414.479969,Broked
1707900414.513636,Relaxed
1707900414.6080582,Relaxed
1707900414.6740887,Relaxed
1707900414.730991,Relaxed
1707900414.7957428,Relaxed
1707900414.8809845,Relaxed
1707900414.9614005,Relaxed
1707900415.0431976,Relaxed
1707900415.12551,Broked
1707900415.1634407,Relaxed
1707900415.246346,Relaxed
1707900415.3113909,Relaxed
1707900415.393082,Relaxed
1707900415.462226,Neutral
1707900415.5468063,Neutral
1707900415.6269662,Neutral
1707900415.7073805,Neutral
1707900415.7629092,Neutral
1707900415.8620417,Neutral
1707900415.938465,Neutral
1707900416.029646,Neutral
1707900416.1115053,Neutral
1707900416.1946008,Neutral
1707900416.2623022,Neutral
1707900416.3621233,Neutral
1707900416.445525,Neutral
1707900416.5238814,Neutral
1707900416.595506,Neutral
1707900416.679043,Neutral
1707900416.762505,Neutral
1707900416.8284085,Shocked
1707900416.8984303,Neutral
1707900416.9918337,Neutral
1707900417.063051,Shocked
1707900417.148989,Shocked
1707900417.229691,Neutral
1707900417.2953637,Neutral
1707900417.3821564,Neutral
1707900417.4657779,Neutral
1707900417.5538743,Neutral
1707900417.634866,Neutral
1707900417.7121584,Neutral
1707900417.8028097,Neutral
1707900417.8763797,Neutral
1707900417.9628396,Neutral
1707900418.0478616,Neutral
1707900418.128984,Neutral
1707900418.1979926,Neutral
1707900418.2796779,Neutral
1707900418.3648624,Neutral
1707900418.4460819,Neutral
1707900418.5309708,Neutral
1707900418.612388,Shocked
1707900418.6986449,Shocked
1707900418.7622974,Shocked
1707900418.8512301,Shocked
1707900418.9219959,Shocked
1707900418.9777749,Shocked
1707900419.0619223,Shocked
1707900419.1507223,Neutral
1707900419.2279344,Shocked
1707900419.32026,Neutral
1707900419.3951786,Shocked
1707900419.4781127,Shocked
1707900419.5612361,Shocked
1707900419.640373,Shocked
1707900419.7111845,Shocked
1707900419.9113271,Shocked
1707900419.9978156,Shocked
1707900420.0786624,Shocked
1707900420.163656,Neutral
1707900420.2493823,Neutral
1707900420.3269973,Neutral
1707900420.4110734,Shocked
1707900420.4911082,Neutral
1707900420.578154,Neutral
1707900420.6487834,Neutral
1707900420.7249746,Neutral
1707900420.8155944,Neutral
1707900420.8944159,Neutral
1707900420.9844487,Neutral
1707900421.0735426,Neutral
1707900421.1639552,Relaxed
1707900421.244322,Neutral
1707900421.4944885,Relaxed
1707900421.5776458,Relaxed
1707900421.6598163,Relaxed
1707900421.8422887,Relaxed
1707900421.9270492,Relaxed
1707900422.0098515,Relaxed
1707900422.0955238,Relaxed
1707900422.1776364,Relaxed
1707900422.2602274,Relaxed
1707900422.3442035,Relaxed
1707900422.4107955,Relaxed
1707900422.483552,Relaxed
1707900422.5445893,Relaxed
1707900422.6107907,Relaxed
1707900422.6933868,Relaxed
1707900422.7716422,Relaxed
1707900422.8395197,Relaxed
1707900422.90666,Relaxed
1707900422.9732783,Neutral
1707900423.0403316,Neutral
1707900423.1060045,Neutral
1707900423.1755462,Neutral
1707900423.2440302,Neutral
1707900423.3397553,Neutral
1707900423.4108768,Neutral
1707900423.4959302,Neutral
1707900423.7106345,Neutral
1707900423.8003805,Neutral
1707900424.0416338,Neutral
1707900424.2104368,Neutral
1707900424.3766973,Broked
1707900424.4623876,Neutral
1707900424.542929,Neutral
1707900424.6773098,Neutral
1707900424.743978,Neutral
1707900424.8259485,Neutral
1707900424.9139566,Neutral
1707900424.9879434,Neutral
1707900425.0549555,Neutral
1707900425.109912,Neutral
1707900425.1759076,Neutral
1707900425.242671,Neutral
1707900425.3268707,Neutral
1707900425.4020598,Neutral
1707900425.4942129,Neutral
1707900425.5607429,Neutral
1707900425.6572866,Neutral
1707900425.7267816,Neutral
1707900425.809376,Neutral
1707900425.89425,Neutral
1707900425.9776764,Neutral
1707900426.0560317,Neutral
1707900426.1264138,Neutral
1707900426.209422,Neutral
1707900426.288721,Neutral
1707900426.3541718,Neutral
1707900426.419162,Neutral
1707900426.4909148,Neutral
1707900426.5765293,Neutral
1707900426.6591115,Neutral
1707900426.7437665,Neutral
1707900426.8272026,Neutral
1707900426.9046152,Neutral
1707900426.975515,Neutral
1707900427.060168,Neutral
1707900427.1444938,Neutral
1707900427.2088747,Neutral
1707900427.313787,Neutral
1707900427.4201343,Neutral
1707900427.4861033,Neutral
1707900427.5543756,Neutral
1707900427.6204953,Neutral
